ORF,Ara+2_R_seg1,Ara+2_R_seg2,Ara+2_R_seg3,Ara+2_R_seg4,Ara+2_R_seg5,Ara+2_2K_seg1,Ara+2_2K_seg2,Ara+2_2K_seg3,Ara+2_2K_seg4,Ara+2_2K_seg5,Ara+2_15K_seg1,Ara+2_15K_seg2,Ara+2_15K_seg3,Ara+2_15K_seg4,Ara+2_15K_seg5,Ara-1_R_seg1,Ara-1_R_seg2,Ara-1_R_seg3,Ara-1_2K_seg1,Ara-1_2K_seg2,Ara-1_2K_seg3,Ara-1_15K_seg1,Ara-1_15K_seg2,Ara-1_15K_seg3
ECB_00530,-0.0019325250855356,,0.0150621809488058,,,-0.0010879915733468,,-0.0445268930486533,,,-0.0929879586700953,,,,,-0.0104878967728896,,,-0.002852422398684,,,,,
ECB_00595,-0.0006790066274146,0.0055961205599906,-0.0068590816064061,0.0150106821451872,-0.00773651664421,0.0185222877216941,0.0232109713758065,-0.0056954917029873,0.0012153818499936,-0.0176154720845391,0.0165042674032563,0.0060354581396943,-0.0267065893367349,-0.0062930183805866,0.0048681097995643,-0.0047318025715707,-0.0030880490245224,-0.0020578975762332,0.0084629610201733,0.0151307695402797,0.0209277612443833,0.0087573651464934,0.003196103906133,-0.0085054630553653
ECB_00624,-0.0035955602092074,-0.00398117663861,0.0064094875158135,0.0087651535340123,0.0081449858525152,-0.0044018271575381,-0.0084483323797863,0.0118391745200697,9.30311407789535e-05,-1.92344321811508e-06,0.0063414051215773,0.0036941355880062,-0.0022346730475545,0.0119475932910079,0.0042078012461734,0.0025984851365253,0.0048470172978924,0.002523618244175,-0.0081299948756523,0.0085725827384544,0.0088823810778544,0.0020686514660466,0.0095343580725307,0.0044466831387861
ECB_00650,,-0.0209865430641403,-0.0280403254890965,,,0.0109442959304715,-0.0191224708674245,-0.0383134486767951,,0.009743527598623,,-0.0024704634701277,,,-0.0096980513083353,,,,-0.0259167712128623,-0.0482196885516644,,,0.0156751544041673,
ECB_00663,0.0330436143746108,,0.0153881194676818,0.0092884635204073,,,-0.0056109256229957,0.0112940669598685,,,,,,,,,,,0.0350312640069508,,-0.0011854013595687,,,
ECB_00664,0.0193987885921284,,,,,,,,0.0099256355450379,,,-0.0251000106083041,,,,,0.0152378206942714,-0.0042202425384903,,,,,0.0105785672804232,
ECB_00679,0.0050163036849869,-0.0303030128450184,0.0446771354199394,-0.0088149671932387,0.0044256563617449,-0.0004098702354345,-0.0072899275710212,,-0.0008407558789325,0.0704020589899235,0.0055610810628936,-0.0156999787648784,0.0083206288914786,0.0008404887461927,0.0113011049072542,0.0182463575299298,,,,-0.0026469618094341,,,0.0006830265930089,0.0147472915719443
ECB_00727,0.0089919094026193,,-0.0030057208035221,-0.020967777467879,-0.0106994670694016,0.0287201619408696,0.0197743641475694,,0.0110677523021939,-0.0075786038522061,,,0.0284159138952776,0.0032954316739649,,,-0.114319946861346,-0.0203775413547638,0.0071963879755626,,0.0035808783268504,,0.0211360163467413,-0.0006135207005045
ECB_00728,-0.0118200270335089,0.0401565275625173,0.0107661168026951,-0.002960281770666,,0.0095526998704714,0.0137112259425875,0.0153440010116967,0.0095934693020918,,-0.0545826559453328,-0.0479222380140952,-0.0133143707901774,-0.0078270091442954,,0.0076965754180913,-0.0108729426858196,-0.0136432388556237,,-0.0215427531465674,,-0.0056298995805489,-0.009914293772373,-0.0155934400420303
ECB_00729,0.0104625314162554,0.0089275891672872,-0.0643708307932513,,,,-0.0007736730740993,-0.0304458169128239,,,-0.0476928745630675,0.0081770851973617,,,,-0.0016703913086187,-0.0013098690956236,,0.0243540176150673,,,-0.105435061380299,0.0179952788350083,
